frame,Coord
522,"[(510.5, 142.5), (525.0, 305.0)]"
523,"[(525.0, 305.0), (504.5, 146.5)]"
524,"[(521.0, 302.0), (502.5, 147.5), (1077.0, 580.0)]"
525,"[(518.0, 301.0), (499.0, 150.0), (1077.0, 577.0)]"
526,"[(518.5, 301.5), (504.0, 151.0), (1078.5, 574.5)]"
527,"[(518.0, 301.0), (1075.0, 572.0), (498.0, 152.0)]"
528,"[(512.5, 298.5), (1073.5, 567.5)]"
529,"[(515.5, 298.5), (1075.0, 566.0)]"
530,"[(513.0, 300.0), (1076.5, 558.5)]"
531,"[(518.0, 300.0), (1085.5, 561.5)]"
532,"[(1092.0, 563.0), (515.0, 302.0)]"
533,"[(1095.0, 565.0)]"
534,"[(1096.5, 568.5)]"
535,"[(1100.5, 570.5)]"
536,"[(720.5, 226.5)]"
537,"[(724.0, 224.0)]"
538,"[(725.5, 223.5)]"
539,"[(727.5, 221.5)]"
540,"[(727.0, 221.0)]"
541,"[(729.5, 220.5)]"
542,"[(724.5, 222.5)]"
543,"[(803.5, 429.5)]"
544,"[(796.0, 425.0)]"
545,"[(795.0, 421.0)]"
546,"[(790.5, 414.5)]"
547,"[(788.5, 410.5)]"
548,"[(790.5, 408.5)]"
549,"[(797.0, 407.0)]"
550,"[(800.5, 406.5), (461.5, 156.5)]"
551,"[(1142.0, 570.0), (453.5, 150.5)]"
552,"[(456.0, 152.0), (1142.5, 564.5)]"
553,"[(451.0, 150.0), (1139.5, 557.5)]"
554,"[(449.0, 149.0), (1138.0, 553.0)]"
555,"[(444.0, 147.0), (1137.0, 547.0)]"
556,"[(439.5, 146.5), (1135.0, 542.0), (507.5, 310.5)]"
557,"[(440.0, 147.0), (1134.5, 544.5), (503.5, 305.5)]"
558,"[(436.0, 147.0), (504.0, 305.0), (1136.0, 545.0)]"
559,"[(498.5, 302.5), (435.0, 149.0), (1142.5, 546.5)]"
560,"[(432.0, 151.0), (489.5, 302.5), (1150.0, 550.0)]"
561,"[(487.0, 302.0), (1157.0, 551.0), (425.0, 153.0)]"
562,"[(483.0, 303.0), (1151.5, 551.5)]"
563,"[(479.5, 300.5), (1153.0, 553.0)]"
564,"[(481.0, 302.0)]"
565,"[(477.0, 302.0)]"
566,"[(475.0, 305.0)]"
567,"[(471.5, 307.5)]"
568,"[(470.5, 310.5)]"
569,"[(459.5, 316.5), (671.5, 233.5)]"
570,"[(668.5, 233.5)]"
571,"[(662.5, 236.5)]"
572,"[(654.0, 240.0)]"
573,"[(652.0, 241.0)]"
574,"[(648.0, 243.0)]"
575,"[(644.5, 242.5)]"
576,"[(642.5, 242.5)]"
577,"[(636.5, 244.5)]"
578,"[(1114.0, 543.0), (765.0, 416.0)]"
579,"[(759.0, 411.0), (1118.5, 539.5)]"
580,"[(760.5, 408.5), (1117.0, 536.0)]"
581,"[(758.0, 408.0), (1115.0, 531.0)]"
582,"[(756.5, 407.5), (1112.5, 529.5)]"
583,"[(756.5, 407.5), (1111.0, 528.0)]"
584,"[(755.0, 407.0), (1109.0, 527.0)]"
585,"[(757.0, 410.0), (1109.0, 527.0), (364.0, 191.0)]"
586,"[(366.0, 190.0), (1109.0, 526.0)]"
587,"[(361.0, 191.0), (1115.5, 525.5)]"
588,"[(360.0, 191.0), (1117.5, 528.5)]"
589,"[(351.0, 191.0), (1116.0, 532.0)]"
590,"[(347.5, 191.5)]"
591,"[(341.0, 191.0)]"
592,"[(346.5, 191.5)]"
593,"[(341.5, 190.5)]"
594,"[(339.5, 189.5), (431.5, 332.5)]"
595,"[(428.0, 331.0), (337.0, 193.0)]"
596,"[(427.5, 330.5)]"
597,"[(428.0, 328.0)]"
598,"[(425.0, 328.0)]"
599,"[(423.5, 330.5)]"
600,"[(426.0, 329.0)]"
601,"[(427.0, 328.0)]"
602,"[(428.5, 326.5)]"
603,"[(429.0, 328.0)]"
604,"[(430.5, 329.5)]"
607,"[(619.0, 250.0), (1147.0, 523.0)]"
608,"[(619.5, 251.5), (1142.5, 520.5)]"
609,"[(619.5, 250.5), (1143.0, 518.0)]"
610,"[(621.0, 250.0), (1143.0, 515.0)]"
611,"[(623.5, 249.5), (1139.5, 512.5)]"
612,"[(622.5, 247.5), (1140.5, 510.5)]"
613,"[(1143.0, 510.0), (627.0, 248.0)]"
614,"[(1148.0, 511.0), (626.5, 248.5), (774.0, 415.0)]"
615,"[(1148.0, 515.0), (771.5, 415.5)]"
616,"[(1153.0, 517.0), (775.0, 413.0)]"
617,"[(1157.5, 521.5), (775.5, 409.5)]"
618,"[(1158.5, 522.5), (337.5, 212.5), (778.5, 410.5)]"
619,"[(329.5, 206.5)]"
620,"[(327.5, 207.5)]"
621,"[(323.5, 209.5)]"
622,"[(321.5, 212.5)]"
623,"[(320.5, 211.5)]"
624,"[(319.0, 211.0)]"
625,"[(321.5, 210.5)]"
626,"[(323.5, 209.5)]"
627,"[(321.5, 210.5)]"
628,"[(321.5, 211.5)]"
631,"[(437.5, 343.5)]"
632,"[(435.0, 343.0)]"
633,"[(435.0, 339.0)]"
634,"[(1174.5, 521.5), (435.5, 333.5)]"
635,"[(435.5, 333.5), (1177.5, 515.5)]"
636,"[(1177.5, 510.5), (436.5, 331.5)]"
637,"[(1175.0, 509.0), (437.5, 333.5)]"
638,"[(1175.0, 506.0), (447.0, 337.0)]"
